id,name,target_case,expects,expected_code,schema_code,compiler_code,actual_code,outcome,manuscript_ref,detail
ADV-001,malformed obligation reference on a risk,case_a,compile,WC-01,,,WC-01,PASS,Section V; Appendix A constraint 8,compiled; hash=2436ef363d0d3e23; warnings=['WC-01']
ADV-002,malformed ACS reference in a disposition,case_a,reject,REFINEMENT_NOT_CLOSED,,REFINEMENT_NOT_CLOSED,REFINEMENT_NOT_CLOSED,PASS,Section IV-D; Appendix A constraint 6,Psi_K is not closed by the supplied judgment record: risk R-01: judgment record selects ['ACS-0001-01'] but the disposition binds ['ACS-DOES-NOT-EXIST']; risk R-01 binds acs_id ACS-DOES-NOT-EXIST which is not in the approved specification set
ADV-003,duplicate risk_id in the register,case_a,reject,DUPLICATE_RISK_ID|REFINEMENT_NOT_CLOSED,,DUPLICATE_RISK_ID,DUPLICATE_RISK_ID,PASS,Section IV-D,duplicate risk_id in the risk register
ADV-004,duplicate acs_id in the specification set,case_a,reject,DUPLICATE_ACS_ID|REFINEMENT_NOT_CLOSED,,DUPLICATE_ACS_ID,DUPLICATE_ACS_ID,PASS,Section IV-C,duplicate acs_id in the approved specification set
ADV-005,duplicate gcir_id across two specifications,case_a,reject,DUPLICATE_GCIR_ID|REFINEMENT_NOT_CLOSED,,DUPLICATE_GCIR_ID,DUPLICATE_GCIR_ID,PASS,Section V,duplicate gcir_id 'GCIR-0001' in the compiled predicate set
ADV-006,risk with no disposition at all,case_a,reject,REFINEMENT_NOT_CLOSED,,REFINEMENT_NOT_CLOSED,REFINEMENT_NOT_CLOSED,PASS,Section IV-D,Psi_K is not closed by the supplied judgment record: risk R-16 has no disposition
ADV-007,risk with two dispositions,case_a,reject,REFINEMENT_NOT_CLOSED,,REFINEMENT_NOT_CLOSED,REFINEMENT_NOT_CLOSED,PASS,Section IV-D,Psi_K is not closed by the supplied judgment record: risk R-01 carries more than one disposition
ADV-008,unresolved disposition blocks release,case_a,reject,RELEASE_INADMISSIBLE,,RELEASE_INADMISSIBLE,RELEASE_INADMISSIBLE,PASS,Section IV-D,bundle is not release-admissible: 1 unresolved disposition(s)
ADV-009,expired ACS approval at compile time,case_a,reject,A9_EXPIRED_APPROVAL,,A9_EXPIRED_APPROVAL,A9_EXPIRED_APPROVAL,PASS,Appendix A constraint 9,1 Approved Control Specification(s) are outside their approved validity interval at compile time; Appendix A constraint 9
ADV-010,assessor is also the acceptor,case_a,reject,A10_SEPARATION_OF_DUTY,,A10_SEPARATION_OF_DUTY,A10_SEPARATION_OF_DUTY,PASS,Section III Step 1; Appendix A constraint 10,M.assessor and M.accountable_exec are the same identity ('exec.head_of_research'); the party who performs the assessment may not be the party who accepts residual risk; Appendix A constraint 10
ADV-011,accepted risk whose acceptor is not M.accountable_exec,case_a,reject,REFINEMENT_NOT_CLOSED,,REFINEMENT_NOT_CLOSED,REFINEMENT_NOT_CLOSED,PASS,Appendix A constraint 11,Psi_K is not closed by the supplied judgment record: risk R-14: acceptor 'technology.applied_ai_platform' does not resolve to M.accountable_exec 'exec.head_of_research'
ADV-012,accepted risk already past expiry at compile time,case_a,reject,A11_ACCEPTANCE_BOUNDS,,A11_ACCEPTANCE_BOUNDS,A11_ACCEPTANCE_BOUNDS,PASS,Appendix A constraint 11,"accepted-risk disposition constraint violated: risk R-14 acceptance expired at 2026-02-01T00:00:01Z, before compile time 2026-02-02T09:00:00Z"
ADV-013,event type that resolves to no catalog template,case_a,reject,REFINEMENT_NOT_CLOSED,,REFINEMENT_NOT_CLOSED,REFINEMENT_NOT_CLOSED,PASS,Section IV-B; Appendix B halt(UNRESOLVED_TEMPLATE),Psi_K is not closed by the supplied judgment record: judgment record selects catalog template an_event_type_the_catalog_has_never_heard_of/T-CLAIM-RESOLVE which the approved catalog does not contain -- Section IV-B forbids heuristic resolution
ADV-014,template id that resolves to no catalog template,case_a,reject,REFINEMENT_NOT_CLOSED,,REFINEMENT_NOT_CLOSED,REFINEMENT_NOT_CLOSED,PASS,Section IV-B,Psi_K is not closed by the supplied judgment record: judgment record selects catalog template output_schema_claim_resolution/T-CLAIM-RESOLVE-V2 which the approved catalog does not contain -- Section IV-B forbids heuristic resolution
ADV-015,stale catalog version cited by the judgment record,case_a,reject,VERSION_BINDING_MISMATCH,,VERSION_BINDING_MISMATCH,VERSION_BINDING_MISMATCH,PASS,Section IV-B; Section VI-A step 1,"version binding validation failed: judgment record cites catalog version '1.0' but catalog version '0.9' was supplied -- a stale catalog is a reassessment trigger, not a compilable input"
ADV-016,catalog bound to a different version binding,case_a,reject,VERSION_BINDING_MISMATCH,,VERSION_BINDING_MISMATCH,VERSION_BINDING_MISMATCH,PASS,Section III Step 1; Section VI-A step 1,version binding validation failed: catalog K-CASE-A is bound to 'VB-SOME-OTHER-1.0' but the assessment declares version binding 'VB-CASE-A-1.0'
ADV-017,invariant bound to a different version binding,case_a,reject,VERSION_BINDING_MISMATCH,,VERSION_BINDING_MISMATCH,VERSION_BINDING_MISMATCH,PASS,Section VI-B,"version binding validation failed: invariant INV-VERSION is bound to 'VB-OTHER', not to the assessment binding 'VB-CASE-A-1.0'"
ADV-018,tampered assessment payload with intact signature envelope,case_a,reject,SIGNATURE_INVALID,,SIGNATURE_INVALID,SIGNATURE_INVALID,PASS,Section VI-A step 1,payload hash mismatch: envelope=2e5f94665cf96dc313ee4451e1ef5e5dcd4355b17d8074966073d41f399c146b actual=6025e8e19772c2c674cd97b79ecdfa4ad6eca9d77aafacec9720b573094c8adf
